datetime,account,category,amount,currency,note,record_type
2015-12-31 00:00:00,One,帳單,-10896.01,TWD,年度結算 - 調帳,transaction
2016-06-10 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-06-10 00:00:00,One,增肥,-220.0,TWD,唐忠駿啤酒,transaction
2016-06-10 00:00:00,One,增肥,-350.0,TWD,晚餐漢堡,transaction
2016-06-11 00:00:00,One,增肥,-25.0,TWD,綠豆椰果,transaction
2016-06-11 00:00:00,One,增肥,-100.0,TWD,白砂糖*5,transaction
2016-06-12 00:00:00,One,增肥,-99.0,TWD,,transaction
2016-06-13 00:00:00,One,帳單,-2364.0,TWD,所得稅,transaction
2016-06-13 00:00:00,One,帳單,-250.0,TWD,自然人憑證,transaction
2016-06-13 00:00:00,One,增肥,-220.0,TWD,豬腳大王,transaction
2016-06-13 00:00:00,One,增肥,-50.0,TWD,Come buy,transaction
2016-06-13 00:00:00,One,增肥,-135.0,TWD,晚餐,transaction
2016-06-13 00:00:00,One,增肥,-50.0,TWD,挫冰,transaction
2016-06-14 00:00:00,One,增肥,-131.0,TWD,早餐,transaction
2016-06-14 00:00:00,One,增肥,-75.0,TWD,,transaction
2016-06-15 00:00:00,One,增肥,-120.0,TWD,,transaction
2016-06-16 00:00:00,One,增肥,-100.0,TWD,早餐,transaction
2016-06-16 00:00:00,One,增肥,-50.0,TWD,,transaction
2016-06-16 00:00:00,One,增肥,-50.0,TWD,挫冰,transaction
2016-06-16 00:00:00,One,增肥,-96.0,TWD,啤酒,transaction
2016-06-17 00:00:00,One,增肥,-69.0,TWD,早餐,transaction
2016-06-17 00:00:00,One,增肥,-50.0,TWD,中餐,transaction
2016-06-18 00:00:00,One,增肥,-350.0,TWD,晚餐,transaction
2016-06-18 00:00:00,One,增肥,-236.0,TWD,中餐,transaction
2016-06-18 00:00:00,One,增肥,-50.0,TWD,Come buy,transaction
2016-06-18 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-06-19 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-06-19 00:00:00,One,增肥,-100.0,TWD,白砂糖*5,transaction
2016-06-20 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-06-20 00:00:00,One,增肥,-45.0,TWD,鹹酥雞,transaction
2016-06-21 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-06-21 00:00:00,One,增肥,-100.0,TWD,牛肉麵,transaction
2016-06-22 00:00:00,One,增肥,-131.0,TWD,麥噹噹,transaction
2016-06-22 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-06-23 00:00:00,One,增肥,-58.0,TWD,早餐,transaction
2016-06-23 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-06-23 00:00:00,One,增肥,-125.0,TWD,宵夜燒烤,transaction
2016-06-24 00:00:00,One,增肥,-340.0,TWD,橘子咖啡,transaction
2016-06-24 00:00:00,One,增肥,-148.0,TWD,燒烤,transaction
2016-06-24 00:00:00,One,增肥,-30.0,TWD,蔥油餅,transaction
2016-06-24 00:00:00,One,增肥,-50.0,TWD,照燒皮蛋,transaction
2016-06-24 00:00:00,One,增肥,-35.0,TWD,豆漿紅茶,transaction
2016-06-25 00:00:00,One,增肥,-140.0,TWD,白砂糖*7,transaction
2016-06-25 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-06-26 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-06-26 00:00:00,One,增肥,-145.0,TWD,Scone,transaction
2016-06-27 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-06-27 00:00:00,One,增肥,-100.0,TWD,牛肉麵,transaction
2016-06-27 00:00:00,One,增肥,-25.0,TWD,,transaction
2016-06-28 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-06-28 00:00:00,One,增肥,-25.0,TWD,餅乾,transaction
2016-06-28 00:00:00,One,增肥,-120.0,TWD,牛肉麵,transaction
2016-06-28 00:00:00,One,增肥,-125.0,TWD,宵夜,transaction
2016-06-29 00:00:00,One,增肥,-120.0,TWD,中餐拉麵,transaction
2016-06-29 00:00:00,One,苦口,-190.0,TWD,鼻子藥,transaction
2016-06-29 00:00:00,One,一起,-45.0,TWD,宜蘭停車費,transaction
2016-06-29 00:00:00,One,增肥,-100.0,TWD,,transaction
2016-06-30 00:00:00,One,增肥,-80.0,TWD,中餐,transaction
2016-06-30 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-07-01 00:00:00,One,增肥,-45.0,TWD,早餐,transaction
2016-07-01 00:00:00,One,增肥,-30.0,TWD,中餐,transaction
