transaction_datetime,category,account,amount,currency,note,is_virtual,is_ignored
2015-12-31 00:00:00,帳單,One,-10896.01,TWD,年度結算 - 調帳,False,False
2016-06-10 00:00:00,增肥,One,-99.00,TWD,Subway,False,False
2016-06-10 00:00:00,增肥,One,-220.00,TWD,唐忠駿啤酒,False,False
2016-06-10 00:00:00,增肥,One,-350.00,TWD,晚餐漢堡,False,False
2016-06-11 00:00:00,增肥,One,-25.00,TWD,綠豆椰果,False,False
2016-06-11 00:00:00,增肥,One,-100.00,TWD,白砂糖*5,False,False
2016-06-12 00:00:00,增肥,One,-99.00,TWD,,False,False
2016-06-13 00:00:00,帳單,One,-2364.00,TWD,所得稅,False,False
2016-06-13 00:00:00,帳單,One,-250.00,TWD,自然人憑證,False,False
2016-06-13 00:00:00,增肥,One,-220.00,TWD,豬腳大王,False,False
2016-06-13 00:00:00,增肥,One,-50.00,TWD,Come buy,False,False
2016-06-13 00:00:00,增肥,One,-135.00,TWD,晚餐,False,False
2016-06-13 00:00:00,增肥,One,-50.00,TWD,挫冰,False,False
2016-06-14 00:00:00,增肥,One,-131.00,TWD,早餐,False,False
2016-06-14 00:00:00,增肥,One,-75.00,TWD,,False,False
2016-06-15 00:00:00,增肥,One,-120.00,TWD,,False,False
2016-06-16 00:00:00,增肥,One,-100.00,TWD,早餐,False,False
2016-06-16 00:00:00,增肥,One,-50.00,TWD,,False,False
2016-06-16 00:00:00,增肥,One,-50.00,TWD,挫冰,False,False
2016-06-16 00:00:00,增肥,One,-96.00,TWD,啤酒,False,False
2016-06-17 00:00:00,增肥,One,-69.00,TWD,早餐,False,False
2016-06-17 00:00:00,增肥,One,-50.00,TWD,中餐,False,False
2016-06-18 00:00:00,增肥,One,-350.00,TWD,晚餐,False,False
2016-06-18 00:00:00,增肥,One,-236.00,TWD,中餐,False,False
2016-06-18 00:00:00,增肥,One,-50.00,TWD,Come buy,False,False
2016-06-18 00:00:00,增肥,One,-99.00,TWD,Subway,False,False
2016-06-19 00:00:00,增肥,One,-99.00,TWD,Subway,False,False
2016-06-19 00:00:00,增肥,One,-100.00,TWD,白砂糖*5,False,False
2016-06-20 00:00:00,增肥,One,-99.00,TWD,Subway,False,False
2016-06-20 00:00:00,增肥,One,-45.00,TWD,鹹酥雞,False,False
2016-06-21 00:00:00,增肥,One,-99.00,TWD,Subway,False,False
2016-06-21 00:00:00,增肥,One,-100.00,TWD,牛肉麵,False,False
2016-06-22 00:00:00,增肥,One,-131.00,TWD,麥噹噹,False,False
2016-06-22 00:00:00,增肥,One,-99.00,TWD,Subway,False,False
2016-06-23 00:00:00,增肥,One,-58.00,TWD,早餐,False,False
2016-06-23 00:00:00,增肥,One,-99.00,TWD,Subway,False,False
2016-06-23 00:00:00,增肥,One,-125.00,TWD,宵夜燒烤,False,False
2016-06-24 00:00:00,增肥,One,-340.00,TWD,橘子咖啡,False,False
2016-06-24 00:00:00,增肥,One,-148.00,TWD,燒烤,False,False
2016-06-24 00:00:00,增肥,One,-30.00,TWD,蔥油餅,False,False
2016-06-24 00:00:00,增肥,One,-50.00,TWD,照燒皮蛋,False,False
2016-06-24 00:00:00,增肥,One,-35.00,TWD,豆漿紅茶,False,False
2016-06-25 00:00:00,增肥,One,-140.00,TWD,白砂糖*7,False,False
2016-06-25 00:00:00,增肥,One,-99.00,TWD,Subway,False,False
