transfer_datetime,from_account,from_currency,from_amount,to_account,to_currency,to_amount,exchange_rate,rate_type,note
2017-03-05 00:00:00,虛幣,TWD,19985.00,One,TWD,19985.00,1.00000,RawCSV,MainCoin
2017-05-29 00:00:00,One,TWD,2000.00,虛幣,TWD,2000.00,1.00000,RawCSV,MainCoin
2017-06-01 00:00:00,One,TWD,15000.00,虛幣,TWD,15000.00,1.00000,RawCSV,MainCoin
2017-06-17 00:00:00,One,TWD,2500.00,虛幣,TWD,2500.00,1.00000,RawCSV,MainCoin
2017-06-17 00:00:00,One,TWD,2500.00,虛幣,TWD,2500.00,1.00000,RawCSV,MainCoin
2017-12-07 00:00:00,One,TWD,15884.00,虛幣,TWD,15884.00,1.00000,RawCSV,MainCoin
2017-12-21 00:00:00,One,TWD,30000.00,虛幣,TWD,30000.00,1.00000,RawCSV,MainCoin
2018-03-30 00:00:00,One,TWD,35000.00,虛幣,TWD,35000.00,1.00000,RawCSV,MainCoin
2020-03-06 00:00:00,虛幣,TWD,19985.00,One,TWD,19985.00,1.00000,RawCSV,MainCoin
2020-03-07 00:00:00,虛幣,TWD,19734.00,One,TWD,19734.00,1.00000,RawCSV,MainCoin
2020-05-27 00:00:00,借錢,TWD,100000.00,One,TWD,100000.00,1.00000,RawCSV,中信紓困貸款
2020-10-29 00:00:00,One,TWD,36530.00,台股,TWD,36530.00,1.00000,RawCSV,北極星
2020-11-05 01:37:30,One,TWD,10000.00,美幣,USD,348.19,0.03482,RawCSV,
2020-12-28 00:00:00,One,TWD,3334.00,借錢,TWD,3334.00,1.00000,RawCSV,中信紓困貸款
2021-01-11 00:00:00,One,TWD,20000.00,台股,TWD,20000.00,1.00000,RawCSV,國泰世華轉入
2021-01-13 14:33:45,One,TWD,10000.00,美幣,USD,357.35,0.03574,RawCSV,
2021-01-13 15:18:02,美幣,USD,685.54,美股,USD,685.54,1.00000,RawCSV,
2021-01-15 00:00:00,One,TWD,40000.00,台股,TWD,40000.00,1.00000,RawCSV,國泰世華轉入
2021-01-27 00:00:00,One,TWD,3334.00,借錢,TWD,3334.00,1.00000,RawCSV,中信紓困貸款
2021-01-29 00:00:00,台股,TWD,31265.00,One,TWD,31265.00,1.00000,RawCSV,北極星
2021-01-31 00:00:00,One,TWD,4286.00,Two,TWD,4286.00,1.00000,RawCSV,
2021-02-02 00:00:00,One,TWD,31256.00,台股,TWD,31256.00,1.00000,RawCSV,國泰世華轉入
2021-02-28 00:00:00,One,TWD,4575.00,Two,TWD,4575.00,1.00000,RawCSV,
2021-03-02 00:00:00,One,TWD,3334.00,借錢,TWD,3334.00,1.00000,RawCSV,中信紓困貸款
2021-03-03 00:00:00,One,TWD,5000.00,台股,TWD,5000.00,1.00000,RawCSV,國泰世華轉入
2021-03-04 10:00:01,美幣,USD,2000.00,美股,USD,2000.00,1.00000,RawCSV,
2021-03-17 10:00:51,One,TWD,42450.00,美幣,USD,1500.01,0.03534,RawCSV,
2021-03-29 00:00:00,One,TWD,1613.00,借錢,TWD,1613.00,1.00000,RawCSV,中信紓困貸款
