date,account,category,amount,currency,converted amount,currency,description
12/31/2015,One,帳單,-10896.01,TWD,-10896.01,TWD,年度結算 - 調帳
6/10/2016,One,增肥,-99,TWD,-99,TWD,Subway
6/10/2016,One,增肥,-220,TWD,-220,TWD,唐忠駿啤酒
6/10/2016,One,增肥,-350,TWD,-350,TWD,晚餐漢堡
6/11/2016,One,增肥,-25,TWD,-25,TWD,綠豆椰果
6/11/2016,One,增肥,-100,TWD,-100,TWD,白砂糖*5
6/12/2016,One,增肥,-99,TWD,-99,TWD,
6/13/2016,One,帳單,-2364,TWD,-2364,TWD,所得稅
6/13/2016,One,帳單,-250,TWD,-250,TWD,自然人憑證
6/13/2016,One,增肥,-220,TWD,-220,TWD,豬腳大王
6/13/2016,One,增肥,-50,TWD,-50,TWD,Come buy
6/13/2016,One,增肥,-135,TWD,-135,TWD,晚餐
6/13/2016,One,增肥,-50,TWD,-50,TWD,挫冰
6/14/2016,One,增肥,-131,TWD,-131,TWD,早餐
6/14/2016,One,增肥,-75,TWD,-75,TWD,
6/15/2016,One,增肥,-120,TWD,-120,TWD,
6/16/2016,One,增肥,-100,TWD,-100,TWD,早餐
6/16/2016,One,增肥,-50,TWD,-50,TWD,
6/16/2016,One,增肥,-50,TWD,-50,TWD,挫冰
6/16/2016,One,增肥,-96,TWD,-96,TWD,啤酒
6/17/2016,One,增肥,-69,TWD,-69,TWD,早餐
6/17/2016,One,增肥,-50,TWD,-50,TWD,中餐
6/18/2016,One,增肥,-350,TWD,-350,TWD,晚餐
6/18/2016,One,增肥,-236,TWD,-236,TWD,中餐
6/18/2016,One,增肥,-50,TWD,-50,TWD,Come buy
6/18/2016,One,增肥,-99,TWD,-99,TWD,Subway
6/19/2016,One,增肥,-99,TWD,-99,TWD,Subway
6/19/2016,One,增肥,-100,TWD,-100,TWD,白砂糖*5
6/20/2016,One,增肥,-99,TWD,-99,TWD,Subway
6/20/2016,One,增肥,-45,TWD,-45,TWD,鹹酥雞
6/21/2016,One,增肥,-99,TWD,-99,TWD,Subway
6/21/2016,One,增肥,-100,TWD,-100,TWD,牛肉麵
6/22/2016,One,增肥,-131,TWD,-131,TWD,麥噹噹
6/22/2016,One,增肥,-99,TWD,-99,TWD,Subway
6/23/2016,One,增肥,-58,TWD,-58,TWD,早餐
6/23/2016,One,增肥,-99,TWD,-99,TWD,Subway
6/23/2016,One,增肥,-125,TWD,-125,TWD,宵夜燒烤
6/24/2016,One,增肥,-340,TWD,-340,TWD,橘子咖啡
6/24/2016,One,增肥,-148,TWD,-148,TWD,燒烤
6/24/2016,One,增肥,-30,TWD,-30,TWD,蔥油餅
6/24/2016,One,增肥,-50,TWD,-50,TWD,照燒皮蛋
6/24/2016,One,增肥,-35,TWD,-35,TWD,豆漿紅茶
6/25/2016,One,增肥,-140,TWD,-140,TWD,白砂糖*7
6/25/2016,One,增肥,-99,TWD,-99,TWD,Subway
6/26/2016,One,增肥,-99,TWD,-99,TWD,Subway
6/26/2016,One,增肥,-145,TWD,-145,TWD,Scone
6/27/2016,One,增肥,-99,TWD,-99,TWD,Subway
6/27/2016,One,增肥,-100,TWD,-100,TWD,牛肉麵
6/27/2016,One,增肥,-25,TWD,-25,TWD,
